,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
76,2020-06-20T11:26:42Z,"[playlist] 해안도로에서 너무 신난다고 과속하시면 안됩니다, 드라이브 팝 모음",#yeLocDirAe 옐럭,7,7997,154,2,19.0,2626,2020-06-20,11:26:42,83700.0
77,2020-08-09T08:00:08Z,"[playlist] 어디서 들어본 듯한 선율의 재즈에 랩 한 스푼, 재즈힙합 모음",#yeLocDirAe 옐럭,3,6550,201,0,18.0,2582,2020-08-09,08:00:08,83700.0
78,2020-11-25T00:00:02Z,[구독자 이벤트] 치킨 쏠테니 1분만 투자할 우럭쓰 구함｜Venti X Yeloc 🍗,#yeLocDirAe 옐럭,7,6532,203,7,112.0,158,2020-11-25,00:00:02,83700.0
79,2020-05-24T06:52:47Z,"[playlist] 클럽 가지 말고 제발 집에서 춤추자, 전투력 상승 외힙모음",#yeLocDirAe 옐럭,5,5895,85,0,12.0,1392,2020-05-24,06:52:47,83700.0
80,2020-07-29T12:04:31Z,[playlist] 새벽 공기가 차가워지길래 국내 시티팝과 알앤비가 듣고 싶어졌다,#yeLocDirAe 옐럭,5,5664,109,0,10.0,2178,2020-07-29,12:04:31,83700.0
81,2020-05-23T09:12:50Z,[playlist] 집중할 때 듣기 좋은 Chill 한 재즈힙합,#yeLocDirAe 옐럭,6,4821,166,0,25.0,1719,2020-05-23,09:12:50,83700.0
82,2020-06-21T07:09:10Z,"[playlist] 문득 싸이월드가 그리워지네요 + 펑키 디스코, 뉴트로팝 모음Vol4",#yeLocDirAe 옐럭,7,4687,78,1,13.0,2489,2020-06-21,07:09:10,83700.0
83,2020-04-04T12:08:15Z,[Playlist] 우울하고 비가 오는 새벽재즈,#yeLocDirAe 옐럭,7,3765,99,1,20.0,1907,2020-04-04,12:08:15,83700.0
84,2020-05-10T05:20:41Z,[playlist] 오픈카탈때 무조건 들어야하는 𝙅𝙊𝙉𝙉𝘼 힙한 옛날 외힙 모음,#yeLocDirAe 옐럭,7,3580,81,0,16.0,2477,2020-05-10,05:20:41,83700.0
85,2020-05-09T08:06:54Z,[playlist] 뭔가 평화로운 밤에 대교 건너며 퇴근할때 몬 느낌인지 알지?,#yeLocDirAe 옐럭,6,3239,49,0,7.0,2812,2020-05-09,08:06:54,83700.0
86,2020-05-29T05:29:54Z,"[playlist] 치골 끝만 솉댓 내적댄th오지네 ( ͡° ͜ʖ ͡°), 적당히 신나는 팝송모음",#yeLocDirAe 옐럭,5,3117,51,1,9.0,1491,2020-05-29,05:29:54,83700.0
87,2020-05-28T13:06:20Z,"[playlist] 바람이 살랑살랑 어두운 밤, 새벽감성 팝송모음",#yeLocDirAe 옐럭,5,2888,54,0,22.0,1633,2020-05-28,13:06:20,83700.0
