,video_id,publish_time,title,channel_Id,channel_title,tags,views_count,likes_count,dislikes_count,favorites_count,comments_count,duration
192,4pv-726Zi20,2019-12-20T02:50:03Z,[Playlist] 무드 있는 홈파티를 원한다면ㅣ소중한 사람과 보내는 분위기 가득한 연말 플레이리스트ㅣBest Popular Songs Of 2019,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '밤', '새벽', '센치한', '센치한 노래', '밤에 듣기 좋은 노래', '밤에 듣기 좋은 팝송', '감성적인', '인디팝', '해외 인디', '팝송 추천', '사운드 클라우드', '카페', '카페 음악', '가을에 듣기 좋은 팝송', '사클', '겨울', '겨울비', '겨울비 노래', '비오는날 듣기 좋은 노래', '비 오는 날 노래', '우울한 노래', '비올때듣기좋은 노래', '비올때듣기좋은팝송', 'rain', 'rain pop song', '감성 팝', '감성 팝송', '감성적인 팝송', '감성적인 노래', '카페음악', '카페뮤직', '카페 팝송', '카페에서 듣기 좋은', 'cafe music', 'cafe pop', '겨울 팝송', '겨울 노래', '분위기 좋은 음악', '분위기 좋은 노래', '완전 좋은 팝송', '카페에서 듣기 좋은 노래', '카페 팝', '홈파티', '파티', 'BGM', 'home party', 'home party playlist', '그루브한', '분위기 있는', 'mood', 'mood pop', 'mood pop song']",582146,9632,107,0,113.0,PT55M31S
193,y4H2kOvTdE4,2020-07-23T01:44:05Z,"[Playlist] UNKNOWN, 나만 알고 싶은 Track vol.5ㅣTrendy songs You've Never Heard",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '언노운', 'unknown']",570709,7044,101,0,181.0,PT1H16M12S
194,qwB_fMR4KD0,2020-11-22T09:30:13Z,[Playlist] 차가워진 밤공기에 어울리는 Deep Groove🌒ㅣDeep & groovy vibes on a cold night🌒,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '알앤비', '해외', '팝송', '그루브한', '힙스터', '플레이리스트', '음악']",539942,7204,85,0,124.0,PT1H29M46S
195,5v0tTkr-Qc4,2020-06-10T05:22:48Z,[Playlist] 이번 여름은 모두 볼륨 UP! 🧃ㅣ여름 맞이! 트렌디 팝 MixㅣSummer Trendy Pop Mix,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '애센셜']",531636,6744,99,0,282.0,PT1H25M50S
196,U-anO4tvek8,2019-12-14T00:30:56Z,[Playlist] 뒹굴뒹굴~ 간만에 느끼는 지대루 된 주말!ㅣ여유로운 주말에 즐기는 스윗 팝 플레이리스트ㅣBest Popular Songs Of 2019,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '출근', '등교', '출근길', '월요병', '출근송', '신나는', '경쾌한', '기분좋은', '감각적인', '팝송 추천', '미국 감성', '미국', '십대 감성', '틴에이저', '싸클', '사클', '가을에 듣기 좋은 노래', '신나는 노래', '기분 좋은', '기분 좋은 노래', '짱좋은 노래', '짱신나는 팝', '카페', '카페 음악', '편집샵', '편집샵 음악', '상쾌한', '아침', '아침에 듣기 좋은 노래', '아침 팝송', '모닝 팝송', '굿모닝팝스', '신나는 팝송', '인기 팝송', '기분 좋은 팝송', '좋은 노래', '좋은 팝송', '2019', '외국 노래', '외국 음악', '느낌있는', '기분좋은 노래', '달콤한 노래', '달콤한 팝송', 'sweet', 'sweet pop', 'sweet popsong', 'drive', 'drive pop', 'drive popsong', '드라이브', '드라이브 팝송', '드라이브 팝', '주말에 듣기 좋은 노래', '주말에 듣기 좋은 팝', '주말 팝', '뒹굴뒹굴']",523056,5438,91,0,138.0,PT1H9M27S
197,yrU3ac44mWQ,2020-11-19T05:15:11Z,[Playlist] 따뜻한 크리스마스 냄새가 나죠? ☕🎄 | 분위기 좋은 연말의 재즈 카페 플레이리스트 | Best Christmas Jazz Cafe Music,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '음악', '재즈', '크리스마스', '플레이리스트', '카페', '겨울', '벽난로', '눈오는날', 'jazz', 'cafe', 'christmas']",513456,8779,76,0,147.0,PT1H1M
198,LvIgutXwTCI,2019-12-04T09:01:28Z,[Playlist] 어디로 튈지 모르는 나의 즐거운 퇴근길!ㅣ인트로부터 두둠칫 드라이브 팝송ㅣBest Popular Songs Of 2019,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '신나는', '트렌디', '팝', 'pop', '출근', '등교', '리드미컬한', '드라이브 팝', '드라이브할때 듣기좋은 노래', '기분전환', '기분좋은 노래', '신나는 노래', '신나는 팝송', '팝송 추천', '노래 추천', '외국음악', '외국노래', '외국 음악 추천', '외국 노래 추천', '에센셜', 'essential;', 'essential', '떼껄룩', '감각적인 팝송', '듣기좋은 팝송', '좋은 팝송', '사운드 클라우드', '싸클', '사클', 'soundcloud', '사운드 클라우드 팝송', '드라이브', '드라이브 팝송', '드라이브 할때 노래', '드라이브 할때 듣기좋은 노래', '드라이브 할때 듣기좋은 팝송', 'drive pop', 'drive', 'drive pop song', '상쾌한 팝송', '개신나는 노래', '개신나는 팝송']",506848,6194,117,0,140.0,PT1H7M11S
199,VVAqhZalFqI,2019-11-26T04:08:17Z,"[Playlist] 약속해요,, 이거 듣고 운전하지말기로.. 분위기에 취하니깐ㅣ그루브한 라운지 스타일 플레이리스트ㅣBest Pop Of 2019",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '신나는', '트렌디', '팝', 'pop', '출근', '등교', '리드미컬한', '드라이브 팝', '드라이브할때 듣기좋은 노래', '기분전환', '기분좋은 노래', '신나는 노래', '신나는 팝송', '팝송 추천', '노래 추천', '외국음악', '외국노래', '외국 음악 추천', '외국 노래 추천', '에센셜', 'essential;', 'essential', '떼껄룩', '감각적인 팝송', '듣기좋은 팝송', '좋은 팝송', '사운드 클라우드', '싸클', '사클', 'soundcloud', '사운드 클라우드 팝송', '겨울 노래', '겨울 팝송', '따뜻한 팝송', '감성적인 팝송', '감성적인 노래', '가을 노래', '가을 팝송', '따뜻한 노래', '틀어놓기 좋은', '틀어놓기 좋은 노래', '때껄룩', '때껄룩 팝송', '때껄룩 노래', 'take a look', '겨울에 듣기 좋은 노래', '겨울에 듣기 좋은 팝송', '좋은 노래', '감성팝', '감성팝송', '잔잔한 노래', '감성 플레이리스트', '라운지', '와인', '혼술 팝송', '혼술 노래', 'Lounge pop', '호텔 라운지']",506191,8746,98,0,189.0,PT1H43M55S
200,xbZSKi7-YFc,2019-12-26T00:57:30Z,"[Playlist] 오후 4시의 한적한 ZARA, H&M ㅣSPA 브랜드 감성의 세련된 일렉팝 플레이리스트 ㅣBest Electro Pop Of 2019",UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '출근', '월요병', '출근송', '신나는', '경쾌한', '기분좋은', '감각적인', '팝송 추천', '미국', '사클', '신나는 노래', '기분 좋은', '기분 좋은 노래', '짱좋은 노래', '짱신나는 팝', '편집샵', '편집샵 음악', '상쾌한', '아침', '아침에 듣기 좋은 노래', '아침 팝송', '모닝 팝송', '신나는 팝송', '인기 팝송', '기분 좋은 팝송', '좋은 노래', '좋은 팝송', '외국 노래', '외국 음악', '느낌있는', '기분좋은 노래', '달콤한 팝송', 'drive', 'drive pop', 'drive popsong', '드라이브', '드라이브 팝송', '드라이브 팝', '주말에 듣기 좋은 노래', '주말에 듣기 좋은 팝', '주말 팝', '일렉트로닉', '일렉트로팝', 'electro pop', 'electronica', 'EDM', '편집샵 노래', 'EDM 추천', '신나는 EDM', '클럽 노래', '클럽 음악', 'ZARA', 'zara', 'H&M', '자라 음악', 'zara music', 'SPA music', 'SPA brand', '자라', '에이치엔엠']",471573,4687,74,0,93.0,PT1H30M52S
201,dwOL4yMH3Vo,2020-01-31T06:21:18Z,[Playlist] 이어폰을 꽂은 채 둠칫 둠칫 ♪ㅣBest Popular Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '팝', 'pop', '출근', '등교', '출근길', '월요병', '출근송', '신나는', '경쾌한', '기분좋은', '감각적인', '팝송 추천', '미국 감성', '미국', '십대 감성', '틴에이저', '싸클', '사클', '가을에 듣기 좋은 노래', '신나는 노래', '기분 좋은', '기분 좋은 노래', '짱좋은 노래', '짱신나는 팝', '카페', '카페 음악', '편집샵', '편집샵 음악', '상쾌한', '아침', '아침에 듣기 좋은 노래', '아침 팝송', '모닝 팝송', '굿모닝팝스', '신나는 팝송', '인기 팝송', '기분 좋은 팝송', '좋은 노래', '좋은 팝송', '2019', '외국 노래', '외국 음악', '느낌있는', '기분좋은 노래', '달콤한 노래', '달콤한 팝송', 'sweet', 'sweet pop', 'sweet popsong', 'drive', 'drive pop', 'drive popsong', '드라이브', '드라이브 팝송', '드라이브 팝', '주말에 듣기 좋은 노래', '주말에 듣기 좋은 팝', '주말 팝', '뒹굴뒹굴', '모닝', '상큼한 팝송', '상큼한 노래', '상큼발랄']",465522,5688,81,0,109.0,PT47M12S
202,2T_T1oG0Dz8,2019-07-10T01:52:21Z,[Playlist] 설레이는 여름! 상큼하고 감각적인 팝송 모음,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', '여름', '편집샵', '트렌디한', '드라이브', '기분전환']",455380,3083,63,0,43.0,PT1H35M11S
203,rUht712t7OI,2020-03-21T05:52:33Z,[Playlist] 구름처럼 폭신한 Sweet MelodyㅣBest Popular Songs Of 2020,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '봄 노래', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천']",447963,5629,69,0,150.0,PT1H18M30S
204,MDr8fmAkgRE,2019-12-10T01:14:16Z,[Playlist] 꿀꿀한 하루를 꿀렁이는 하루로!ㅣ힙스터들의 느낌있는 그루브 힙합 플레이리스트ㅣBest Hiphop Of 2019,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['음악', '플레이리스트', 'playlist', '팝송', '신나는', '트렌디', '팝', 'pop', '출근', '등교', '리드미컬한', '드라이브 팝', '드라이브할때 듣기좋은 노래', '기분전환', '기분좋은 노래', '신나는 노래', '신나는 팝송', '팝송 추천', '노래 추천', '외국음악', '외국노래', '외국 음악 추천', '외국 노래 추천', '에센셜', 'essential;', 'essential', '감각적인 팝송', '듣기좋은 팝송', '좋은 팝송', '사운드 클라우드', '싸클', '사클', 'soundcloud', '사운드 클라우드 팝송', '드라이브', '드라이브 팝송', '드라이브 할때 노래', '드라이브 할때 듣기좋은 노래', '드라이브 할때 듣기좋은 팝송', 'drive pop', 'drive', 'drive pop song', '상쾌한 팝송', '개신나는 노래', '개신나는 팝송', '불금', '힙합', '클럽', '힙합 노래', 'hiphop', '힙합 추천', '외국 힙합', '외힙', '외힙 추천', '홍대', '이태원', '강남', '홍대클럽', '이태원클럽', '강남클럽', '베이스', '비트', '비트 좋은 음악', '베이스 좋은 음악', '트랩', '트랩 힙합', '그루브한']",431515,6710,127,0,170.0,PT1H35M40S
205,WP9fMyb7WhU,2020-05-17T00:00:14Z,[Playlist] 달짝지근 기분 좋아지는 Daily Pop 4ㅣsongs for a sweet and pleasant day,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['playlist', '플레이리스트', '팝송', '노래', '음악', '노래 추천', '음악 추천', '팝송 추천', '에센셜', 'essential', 'essential;', '좋은 노래', '좋은 노래 추천', '애센셜']",422886,5337,80,0,176.0,PT1H17M18S
206,H4wGY5bZnF4,2020-07-24T11:00:13Z,[Playlist] 뚝섬유원지역 한강변을 지나며 Chill OutㅣChill out in Han River,UCSGC87iX0QhnIfUOI_B_Rdg,essential;,"['에센셜', 'essential', '뚝섬', '뚝섬유원지', '한강', 'essential 한강', 'essential 뚝섬', '에센셜 한강', '에센셜 뚝섬', 'playlist']",414827,5813,81,0,182.0,PT1H8M29S
